,TIP WtE,TSIP WtE,SNK WtE,KepSeg WtE
1,35.02831876193344,91.43938632633224,38.68589421498672,15.474357685994686
2,36.464853904823286,95.1893776631933,40.27242901135101,16.108971604540404
3,33.72656956587276,88.0412458546879,37.248219400060265,14.899287760024105
4,32.46179127725856,84.73961578400827,35.851375908618884,14.340550363447553
5,33.49430239423168,87.43492592871722,36.99169943138036,14.796679772552144
6,32.138259345794424,83.89505451713401,35.494061526479776,14.197624610591909
7,30.72620214048847,80.20896141091366,33.93456059692501,13.573824238770003
8,30.340436890764792,79.20194369075143,33.50851463839484,13.403405855357935
9,38.62740167445478,100.83458268431967,42.660784981827554,17.06431399273102
10,33.559309051854115,87.60462202291232,37.0634939327706,14.825397573108237
11,30.849383761682226,80.53051985981303,34.07060455607474,13.628241822429894
12,34.06984850768778,88.93735554215684,37.62734272937405,15.050937091749619
