,[MJ/kg]
"Coal, lignite",15.6
"Coal, subbituminous",19.77
"Coal, bituminous",28.5584
HSFO,39.46
Crude,42.68
Diesel,42.78
Waste,10.492
WB Coal (Australia),24.388
Natural Gas,47.13
Biomass,17
