,Load pu,Part load efficiency
0,0.6106952081278509,0.9227134113048158
1,0.6332265474770046,0.9298207364476668
2,0.6557619630783815,0.9363565397592276
3,0.6783008700297644,0.9423933582438994
4,0.7008420392229304,0.9481206571443693
5,0.7233846558398294,0.9536669573786501
6,0.7459302027442569,0.9587647172498739
7,0.7687925692193741,0.9635442251264796
8,0.7910272882969043,0.9680538111720141
9,0.8135778955086307,0.9723938891265307
10,0.8361303088141746,0.9764446465561551
11,0.8586848629830541,0.9801370349229642
12,0.8812409232827092,0.98357958485034
13,0.9037986651621664,0.9867341601459001
14,0.9263584419181674,0.9895290222902229
15,0.9469949421099308,0.9916194157820475
16,1.0,1.0
