,Load pu,Part load efficiency
0,0.6107175288237768,0.9191044995240998
1,0.6332495544946011,0.9260439020920856
2,0.6557849633074303,0.9325276581303521
3,0.6783235553425905,0.9385679348301398
4,0.7008639850114312,0.9443744152122981
5,0.7234068656709851,0.9498314277904247
6,0.7459510580450449,0.955123681658057
7,0.7684972409521196,0.9601252790293542
8,0.7910455131820295,0.9648086051250674
9,0.8135949365043795,0.9693315987542912
10,0.8361456614439333,0.9736618889008178
11,0.85869745615171,0.9778359923827703
12,0.8812517922208838,0.9815789921081076
13,0.9038064741297318,0.9852867446021061
14,0.9263627731690148,0.9887211317940587
15,0.9475458591197904,0.9915608620440847
16,1.0,1.0
