,Load pu,Part load efficiency
0,0.21015739,0.637235
1,0.22975297100000003,0.660775
2,0.249348551,0.684036
3,0.268944132,0.707437
4,0.288539712,0.729166
5,0.312421826,0.7519399999999999
6,0.33861730700000003,0.7736609999999999
7,0.36556123,0.792728
8,0.39202887200000003,0.8108069999999999
9,0.418972795,0.8275040000000001
10,0.444998176,0.841886
11,0.471023556,0.85517
12,0.49919220299999995,0.868888
13,0.529810298,0.8822999999999999
14,0.560428393,0.8944559999999998
15,0.592271211,0.9059389999999999
16,0.62411403,0.916989
17,0.657181572,0.9269560000000001
18,0.68902439,0.936316
19,0.722091932,0.9449400000000001
20,0.755159475,0.9531839999999999
21,0.789696685,0.96352
22,0.8202447959999999,0.9719859999999999
23,0.854362101,0.9782069999999998
24,0.887429644,0.984476
25,0.92172191,0.989351
26,0.9560141759999999,0.994135
27,0.9903064420000001,0.9977429999999999
28,1.0,1.0
