,Load pu,Part load efficiency
0,0.605483310021055,0.9413531245335969
1,0.6215194385062589,0.9438208391803709
2,0.6362196338516846,0.9460993380990336
3,0.6509190593726027,0.9483470606499591
4,0.6656186224791777,0.9506002836580971
5,0.6803180676551899,0.9528487919886246
6,0.6950176111066709,0.9551012292171612
7,0.7097169088694795,0.9573438442006751
8,0.7244167569749145,0.9596084610130394
9,0.7395613998531451,0.9619155099239001
10,0.7542611595106581,0.9641765907280566
11,0.7689605457213887,0.9664227417197785
12,0.7836594995200556,0.968651605560261
13,0.7983585909043793,0.9708859698579563
14,0.813502919301109,0.9731804462951887
15,0.8286470904570882,0.9754686364956067
16,0.8451271004083953,0.9779422706820473
17,0.8609891281913584,0.9802310070550875
18,0.8749204111276001,0.9823351734683473
19,0.8885328834144746,0.9842925787562206
20,0.911882394344342,0.9877205120467453
21,0.9279622353213872,0.9899646985894628
22,0.9439930695978798,0.992220759135052
23,0.9600237553692191,0.9944708826792055
24,0.9756093275184636,0.9966658270335439
25,1.0,1.0
