,Load pu,Part load efficiency
0,0.20893266600000002,0.8190537440000001
1,0.23914252,0.8411542609999998
2,0.264861719,0.859029679
3,0.291805642,0.8767425940000001
4,0.317443194,0.889905402
5,0.347326454,0.9017681800000001
6,0.37794454899999996,0.912980942
7,0.409262485,0.923056178
8,0.444079633,0.9324813990000002
9,0.478126954,0.940606589
10,0.510214718,0.947269245
11,0.544506984,0.9536068930000001
12,0.576594747,0.958937018
13,0.611866792,0.964738403
14,0.6471388370000001,0.9690772550000001
15,0.6792266,0.9731073490000001
16,0.7135188659999999,0.9770074409999999
17,0.747811132,0.980582524
18,0.7808786740000001,0.9842876109999998
19,0.820069835,0.987017675
20,0.851912654,0.989845241
21,0.894543465,0.9932543629999999
22,0.928310849,0.9962421610000001
23,0.949916615,0.9976488809999999
24,1.0,1.0
